(190)Ku.Wani,,,,(36)Gopal Gavali,
(190)Kulwant Wani,,,,(36)Gvalvansh,
(190)Kulwant-Wani,,,,(36)Muslim Gavali,
(190)Kunbi Wani,,,,(37)Aswalwale,
(190)Ladshakhiya Wani,,,,(37)Darveshi,
(190)Lingayat Tamboli,,,,(37)Waghwale Shah (Muslim Religious),
(190)Lingayat Wani,,,,(38)Bagdi,
(190)Mitkari Wani,,,,(4)(A)Dhontle,
(190)Nevi,,,,(4)(B)Korva,
(190)Panari,,,,(4)(C)Kochi Korva,
(190)Tamboli,,,,(4)(C)Makadwale,
(190)Vai. Wani,,,,(4)(D)Pamlor,
(190)Vaishya Wani,,,,(4)(E)Korvi,
(190)Vaishya-Wani,,,,(4)Bhope,
(190)Vaishyawani,,,,(4)Bhute,
,,,,"(4)Kaikadi (Mumbai, Thane, Kolaba, Ratnagiri, Nashik, Dhule, Jalgaon, Pune, Ahmednagar, Satara, Sangli, Kolhapur, Solapur, Aurangabad, Beed, Parbhani, Osmanabad, Nanded Districts &amp; Rajura Tehsil of Chandrapur District)",
(190)Wani,,,,(5)(A)Chhara,
(190)Wani(Kulwant),,,,(5)(B)Kanjar,
(191)Ansari,,,,(5)(C)Nat,
(191)Momin,,,,(5)Kanjar Bhat,
(192)Fakir Bandarwala,,,,(6)Chitrakathi,
(194)Ghadshi,,,,(6)Hardas(Except Muslim Religion),
(195)Tamboli(Muslim Religious Panfarosh),,,,(6)Katabu,
(196)Schedule Castes Converted to Christian,,,,(7)(A)Goar Banjara,
(197)Lanzad,,,,(7)(B)Lambada,
(197)Lazad,,,,(7)(B)Lambara,
(198)Ahir,,,,(7)(C)Lambhani,
(198)Yadav,,,,(7)(D)Charan Banjara,
(199)Ladasi,,,,(7)(E)Labhan,
(20)Chandalgada,,,,(7)(F)Mathura Labhan,
(202)Atar,,,,(7)(G)Kachikiwale Banjara,
(203)Audhiya,,,,(7)(H)Laman Banjara,
(204)Badag,,,,(7)(I)Laman,
(204)Badak,,,,(7)(I)Lamani,
(204)Barav,,,,(7)(J)Laban,
(205)Bagaloo,,,,(7)(L)Dhali,
(206)Marwar Baori,,,,(7)(L)Dhalia,
(206)Marwar Waghri,,,,(7)(M)Dhadi,
(207)Udasi,,,,(7)(M)Dhari,
(208)Balsanthanam,,,,(7)(N)Singari,
(209)Mathura Banjara,,,,(7)(P)Jogi Banjara,
(21)Charan,,,,(7)(S)Banjari,
(21)Gadhavi,,,,(7)(V)Navi Banjara,
(210)Shingade Banjara,,,,(7)Banjara,
(211)Lambade,,,,(7)Garudi,
(212)Phanade Banjara,,,,(7)Sapgarudi (Including Muslim Religious),
(213)Sunar Banjara,,,,(8)Arya Kshatriya,
(214)Dhaliya Banjara,,,,,
(215)Shingadya Banjara,,,,(8)Chitari,
(216)Baoriya,,,,(8)Chitodi Lohar,
(217)Koli Bariya,,,,(8)Chitodiya-Lohar,
(218)Bathini,,,,(8)Gadi Lohar,
(219)Begari,,,,(8)Ghisadi,
(22)Charodi,,,,(8)Ghisadi Lohar,
(220)Bhampta,,,,(8)Jinagar,
(220)Ghantichore,,,,(8)Jingar,
(220)Pardeshi,,,,(8)Khati,
(221)Pong,,,,(8)Khatwadhi,
(222)Dasar,,,,(8)Lohar,
(223)Uchila,,,,(8)Pal Pardhi,
(224)Belchheda,,,,(8)Panchal Lohar,
(224)Bhanddura,,,,(8)Rajput Lohar,
(224)Billawa,,,,(8)Somvanshi,
(224)Thiya,,,,(8)Somvanshi Arya Kshatriya,
(225)Dhivar Bhoi,,,,(9)(B)Gaon Pardhi,
(225)Kharavi,,,,(9)(C)Haran Shikari,
(226)Bhoyar,,,,(9)Goler,
(227)Bindali,,,,(9)Golkar,
(228)Burbuk,,,,(9)Golla,
(229)Chadar,,,,(9)Gollewar,
(23)Chhipa,,,,(9)Raj Pardhi,
(23)Chippa,,,,,
(230)Chakravaday -Dasar,,,,,
(231)Chandal,,,,,
(232)Chenyawar,,,,,
(232)Chenyu,,,,,
(233)Chimur,,,,,
(234)Chintala,,,,,
(235)Dakaleru,,,,,
(236)Darji,,,,,
(238)Kuraba,,,,,
(238)Kurubar,,,,,
(239)Harkantra,,,,,
(239)Mangele,,,,,
(239)Mangeli,,,,,
(239)Page,,,,,
(239)Sanduri,,,,,
(24)Dangdidas,,,,,
(24)Das,,,,,
(241)Dommara,,,,,
(242)Gadaba,,,,,
(242)Godba,,,,,
(243)Gangani,,,,,
(244)Garodi,,,,,
(245)Goller,,,,,
(246)Godala,,,,,
(247)Habura,,,,,
(248)Harani,,,,,
(249)Hil-Redidas,,,,,
(25)Dabgar,,,,,
(250)Deveri,,,,,
(251)Bankar,,,,,
(251)Bunkar,,,,,
(251)Vanya,,,,,
(251)Vinkar,,,,,
(252)Kachhiya,,,,,
(253)Korach,,,,,
(253)Padlor,,,,,
(254)Goud Kalal,,,,,
(254)Jain Kalar (Excluding Lad Brahman),,,,,
(254)Kalal,,,,,
(254)Kalar,,,,,
(254)Lad,,,,,
(254)Ladwak,,,,,
(254)Shivhare,,,,,
(255)Kandel,,,,,
(256)Kasera,,,,,
(257)Kasab,,,,,
(257)Kasai,,,,,
(257)Qureshi,,,,,
(258)Katipamula,,,,,
(259)Kirar,,,,,
(26)Depala,,,,,
(260)Christian Koli,,,,,
(261)Korachar,,,,,
(261)Korave,,,,,
(262)Kodaku with Korava,,,,,
(263)Komakapu,,,,,
(264)Kondu,,,,,
(265)Lakhari,,,,,
(266)Dodi,,,,,
(266)Khatawali,,,,,
(266)Lohar-Gada,,,,,
(266)Paanchal,,,,,
(266)Panchal,,,,,
(267)Chunari,,,,,
(269)Mahil,,,,,
(27)Devli,,,,,
(270)Maidasi,,,,,
(271)Mazwar,,,,,
(272)Matihara,,,,,
(272)Matiyara,,,,,
(273)Mankar Khalu,,,,,
(274)Mondiwar,,,,,
(274)Mondiwara,,,,,
(275)Munda,,,,,
(276)Hajam,,,,,
(276)Kalseru,,,,,
(276)Kanshi,,,,,
(276)Nabhik,,,,,
(276)Nai,,,,,
(276)Navliga,,,,,
(276)Waland,,,,,
(277)Pachbhotala,,,,,
(277)Pachbotala,,,,,
(278)Padampari,,,,,
(279)Bhisti,,,,,
(28)Devdig,,,,,
(28)Dewadiga,,,,,
(28)Moili,,,,,
(28)Sherigar,,,,,
(280)Pamula,,,,,
(281)Pancham,,,,,
(281)Panchama,,,,,
(282)Panda,,,,,
(283)Phar,,,,,
(284)Pinjari,,,,,
(285)Purwali,,,,,
(286)Rachbhoya,,,,,
(287)Rautiya,,,,,
(288)Sangari,,,,,
(289)Santal,,,,,
(290)Saunta,,,,,
(290)Sonta,,,,,
(291)Savteli,,,,,
(292)Sare,,,,,
(293)Bhavgar,,,,,
(293)Namdev,,,,,
(293)Shiv Shimpi,,,,,
(294)Shingadya,,,,,
(294)Shingdav,,,,,
(295)Sindhur,,,,,
(296)Sore,,,,,
(297)Sunna,,,,,
(298)Sunnai,,,,,
(299)Bhadai,,,,,
(30)Dhafali,,,,,
(30)Dholi,,,,,
(30)Hashmi,,,,,
(300)Ganchi,,,,,
(300)Ganninga,,,,,
(300)Ghanchi,,,,,
(302)Timali,,,,,
(301)Thotewadu,,,,,
(303)Valwai,,,,,
(304)Vadader(Kalawader or Pathrod),,,,,
(305)Vanadi,,,,,
(306)Yenadiwadas,,,,,
(307)Yergolawad or Thella Pamalwadas,,,,,
(308)Odewar,,,,,
(309)Maneri,,,,,
(309)Maniyar,,,,,
(309)Manyar,,,,,
(309)Manyar (Bangadiwala),,,,,
(310)Jatgar,,,,,
(311)Karadi,,,,,
(312)Kunkuwale,,,,,
(313)Khatwadhai,,,,,
(315)Kohali,,,,,
(316)Kasai,,,,,
(316)Khatik,,,,,
(316)Qureshi Khatik,,,,,
(317)Dangari,,,,,
(318)Vedu (Waghari),,,,,
(319)Muslim Dhawad,,,,,
(320)Nirhali (Nirali),,,,,
(321)Chitrakathi Hardas,,,,,
(322)Besta,,,,,
(322)Bestallu,,,,,
(322)Besti,,,,,
(323)Parivar,,,,,
(324)Savkalar,,,,,
(325)Hanbar,,,,,
(326)Badgujar,,,,,
(326)Dode Gujar,,,,,
(326)Gujar,,,,,
(326)Leve Gujar,,,,,
(326)Londhari,,,,,
(326)Pendhari,,,,,
(326)Reva Gujar,,,,,
(326)Reve Gujar,,,,,
